i,j,MAPD-test,MSE-test,RMSE-test,R2-test,Slope-test,Loss,MAPD-ind,MSE-ind,RMSE-ind,R2-ind,Slope-ind
5,5,32.88988531913715,0.0012073537026613393,0.03474699559186865,0.8313865235901267,0.8439326101275288,0.036336113392469144,36.014792756284194,0.0014276884266442307,0.037784764477818714,0.7919844826476378,0.8278985342099469
6,5,32.818296872135896,0.0012430687840366515,0.03525718060249077,0.8380412588708848,0.847370346352823,0.0344054869375655,34.62724076808713,0.001496700801933463,0.03868721755222858,0.7973560659301333,0.8101763084801312
6,6,32.98111732560035,0.00126916707297838,0.0356253711977627,0.8327651242663618,0.8458016405446367,0.03586096397208614,35.52640963630021,0.0016665412455466435,0.04082329292875139,0.7841204913224539,0.8109843640257957
7,5,31.772450976476286,0.001125497733189958,0.033548438610313265,0.8416259532069068,0.8650182884495526,0.03374376503737939,33.453995798137335,0.0014498590321189715,0.03807701448536862,0.8125273013950379,0.8463784909879872
7,6,32.66722626950591,0.0012253180671924747,0.035004543522126876,0.8405819091471247,0.8586734755115744,0.034168026595126015,36.72253769808371,0.0016761811956693075,0.040941191918034185,0.7895394975663305,0.8297475430970286
7,7,32.31613410918589,0.0011707244938087952,0.034215851499104846,0.8432747922868221,0.857907308904097,0.033421044289799445,35.32957373248464,0.0015514870902942474,0.039388920907969124,0.8019341422581845,0.8438492471675101
8,5,32.189060128055175,0.0011579769535581474,0.03402906042720174,0.8416271238058485,0.8548734897108116,0.03348878782241986,35.830984233738846,0.0015161508117514416,0.038937781289532174,0.7953983952379869,0.8405749153415673
8,6,31.55426889428553,0.0011760214204799386,0.03429316871448217,0.8435350281253554,0.8580438916989405,0.03315719959997957,33.782441260077256,0.0014274057714802062,0.03778102396018676,0.8130648728885,0.8469644342933673
8,7,31.455955496940252,0.0011616011036212398,0.03408226963717704,0.8457972024502132,0.8613600978137499,0.03275412929235482,33.34225229155816,0.0015388222975290774,0.039227825551884435,0.8111542466130309,0.8566959266538455
8,8,31.341105893873976,0.0011873813801668096,0.03445840071980721,0.8474737698246816,0.868659751149626,0.03249689690278533,34.49390258917374,0.0015945185011663938,0.03993142247862445,0.805777226749129,0.8602627624051927
9,5,32.56392059408487,0.001189266130408015,0.03448573807254261,0.8417157665530081,0.8532071639183807,0.03307806576855336,34.23486073756561,0.001510274603811298,0.03886225165647634,0.8068690995998717,0.8487850902021511
9,6,31.81918798953585,0.0011333844260265225,0.03366577529222404,0.8477940220924146,0.868977060755451,0.03251482024049872,34.83875044981994,0.0014294217778429133,0.03780769469093445,0.7954709864681704,0.8501240805454437
9,7,30.14262958042673,0.0010888607354254834,0.032997889863224335,0.8547483061299647,0.8566705813811926,0.03112795904869827,33.46631723457332,0.0015173370976051964,0.03895301140611848,0.8022997752627244,0.8347051669005711
9,8,30.772698349341752,0.0011510993072424707,0.033927854445020104,0.8525346810190226,0.8554948149955411,0.031447930896530266,33.43529147806426,0.0014919817809181993,0.03862617999386167,0.8137176306986168,0.8376560469627017
9,9,31.142579657105973,0.0010968813840190378,0.03311919962829775,0.8493803017877464,0.8618372751266219,0.03192611394813407,33.73002343941326,0.0013914882715759115,0.03730265770124042,0.8111584109607539,0.8367599572963421
10,5,31.123221267007594,0.0011358106876858448,0.03370179057091544,0.8494689371406559,0.8707751025567575,0.03159017072084685,33.716300148270065,0.0014148929787278575,0.037615063189204635,0.8092965190999934,0.8507461249752382
10,6,31.009680084910908,0.0011420486405525872,0.03379421016317125,0.8523175555085916,0.8615510302983101,0.03146448996952329,32.91608258483974,0.0014724340040181323,0.03837230777550566,0.8153283795949366,0.8385291143832473
10,7,30.44741116343721,0.0010842415032224285,0.0329278226310582,0.8546888480424214,0.8697874039875597,0.030709231436536755,31.128813235123737,0.0013525524570868607,0.03677706428042973,0.8192953351461189,0.8623774089228168
10,8,31.17516440207668,0.0011429996910851973,0.03380827844012761,0.849919448305582,0.8690804675350975,0.032138731864259744,33.24422118531694,0.0014511253528096428,0.03809363926969492,0.8069698014212282,0.872419682375004
10,9,30.889205960179833,0.0011041508520795342,0.03322876543116723,0.8517172216816468,0.8777154717655961,0.031321708718748315,32.124167970782565,0.001327905194710804,0.0364404335143094,0.8234934817006574,0.8675651403239866
10,10,31.754346029154558,0.0011559908042611477,0.033999864768277356,0.8465591125837981,0.8625284149720682,0.032445169355420495,33.3862957574666,0.0015503142080304378,0.039374029613825884,0.8172288008202031,0.8675475879716127
11,5,30.11680288296698,0.0010840608281242922,0.03292507901470082,0.8582722018948066,0.8733536239049948,0.030582704066064552,32.49285612479225,0.0014425640568262459,0.0379811013113923,0.8188604972414101,0.8584694903038619
11,6,30.11895236963582,0.0010675068222435614,0.03267272290831545,0.8571024727367389,0.864380987999888,0.03033203813725875,32.71312725308377,0.0013508728870112053,0.03675422270993097,0.8223271697069872,0.8559083019658622
11,7,31.22708871944091,0.0011204618818795792,0.03347330103051653,0.8516302261614076,0.8718557747278451,0.03148634489781495,31.76802830365223,0.0013265402521971557,0.03642170029250633,0.8213739488473678,0.8700363320406478
11,8,30.918649868423604,0.0011335610761822909,0.03366839877663164,0.8516651846492582,0.8524636652068259,0.03143589117673765,33.12114496830239,0.0015122329269705314,0.038887439192759034,0.8113287394383754,0.8342948437565518
11,9,30.05136275812901,0.0010674095545605254,0.03267123435930337,0.859320465436088,0.879336616394602,0.029808814569771955,31.286708880916887,0.0013079742612196789,0.03616592679884865,0.8283937486719636,0.8565924132187845
11,10,30.224395506082974,0.0010577530443009375,0.03252311553804367,0.8578119953177997,0.8871353001007042,0.030101745381448997,30.435496608429375,0.0012892358173613543,0.03590593011413789,0.8278294024412715,0.8688994016508623
11,11,29.379027885253585,0.00103095021402467,0.03210841344608403,0.8623426894182986,0.8769347532124693,0.029585871019889173,31.393761612471693,0.0013649794039297613,0.03694562766999312,0.823110647525092,0.8452565827656008
12,5,30.893466184953216,0.001089373306012605,0.03300565566706114,0.8501770728514971,0.8573359410469117,0.031428549272087894,33.479837413424754,0.0014824641780965882,0.038502781433249575,0.8105899099173444,0.8485750227734449
12,6,30.16440589261672,0.0010843858134398547,0.032930013869414854,0.8546003313455125,0.8714127077659183,0.03057417044826717,33.063721993154516,0.0013440170650754627,0.03666083830295568,0.8216456537242811,0.8484593086148937
12,7,30.457300170367454,0.0011256108011388104,0.033550123712719905,0.8542077850096066,0.8723906036035645,0.03097820347925917,33.71461364309208,0.0014617228186003571,0.03823248381416459,0.8091189295856793,0.8575235162848983
12,8,29.918936473341834,0.0010214097710788184,0.03195950204679069,0.8585960760598513,0.8841234895517631,0.030009343635637176,32.292628975879886,0.0013040291607951634,0.03611134393504572,0.8164134120603319,0.8768686021592234
12,9,30.292215669139743,0.0010821355458010358,0.03289582869910767,0.8573617809203039,0.8767050417673934,0.03023757508674235,33.33395907134991,0.0013844490831512568,0.037208185700881156,0.8201286417140383,0.863656363917985
12,10,29.88366662029327,0.0010439057941741185,0.03230953101136132,0.8572547405651731,0.8724844234364718,0.02984517797473643,32.91616544138783,0.0014494687934990128,0.03807188980729762,0.8184466243745194,0.8681612805207242
12,11,30.07285802876402,0.0010416151319113938,0.032274062835524656,0.8608099105227348,0.8822576262245833,0.02952890719781994,32.80773137584906,0.001318593060203146,0.03631243671530659,0.8254702301077161,0.8601666876213194
12,12,29.304784012929797,0.001021798002143314,0.03196557526689163,0.8614133040836579,0.87787198184171,0.028949519012247925,30.85201046291631,0.001325923320110577,0.036413230014797876,0.824725354209352,0.8685319390909488
13,5,30.122347292115847,0.0010699596558656657,0.032710237783691906,0.8586362247194578,0.8718077005144025,0.02995027993710735,31.407260620382665,0.0012974159214274264,0.03601966020699566,0.8301544535328779,0.8690455306587302
13,6,30.65497000286537,0.0010591258416351478,0.0325442136429066,0.8552163616831837,0.8730277178760341,0.03023897118465173,34.911391666019156,0.0016091830659133227,0.04011462409039031,0.807551852491492,0.8400803044696443
13,7,29.848640557255845,0.0010663956773404488,0.03265571431373763,0.8611486257143753,0.8784155368690159,0.02945687894773964,32.45831557011528,0.0014132033308248534,0.037592596755542884,0.825419051427391,0.854366551944722
13,8,30.26184907707656,0.0010569717060882004,0.03251110127461388,0.8583971926461056,0.883538887780892,0.03002137805417766,33.489747525709426,0.0014151179324538175,0.0376180532783638,0.8182754797820383,0.8678826864226046
13,9,29.820542335758514,0.0010400486152229685,0.03224978473142059,0.8624094909533865,0.876399106783044,0.028951791180331272,31.531154049806965,0.001328217372490879,0.03644471666086703,0.8305317558085303,0.8611302127725788
13,10,30.066171603040438,0.0010407372743114196,0.032260459920953076,0.8597356699585629,0.8734330602089535,0.02994308495028159,30.476488999427808,0.0012430049548908322,0.0352562753973081,0.8276036671761119,0.8628492777242504
13,11,30.378663086129563,0.0010886086032303904,0.03299406921297206,0.857719152018689,0.8724415330578968,0.030104232136700326,32.088858498302756,0.0013696061425228648,0.03700819020869387,0.8242657824312194,0.8748786113494154
13,12,29.41153640677084,0.001054365112345113,0.03247098877991111,0.8594290526934315,0.8766925052909073,0.02976023621766192,31.67214996303929,0.0013109256571757029,0.03620670735065124,0.8236410981425912,0.8723132281423391
13,13,29.080691297162105,0.0009991269920720856,0.03160897012039598,0.865193473770788,0.8802436537697731,0.028945307543084164,30.67113279062758,0.0012375862956933706,0.03517934473086971,0.8324035504589143,0.8659720694611917
14,5,30.412091882767083,0.001076109026957,0.03280410076434043,0.8567989462258996,0.8668987824513904,0.030172227471009797,30.60294936949909,0.0012943507101129377,0.03597708590357115,0.8333368787394183,0.8637090303133336
14,6,30.043184191692728,0.0010340080076015235,0.03215599489366677,0.8581423853867364,0.8701566802701229,0.02971429697966368,31.113416623686607,0.0012705039965539135,0.035644129903167975,0.8333954212155974,0.8591576934948955
14,7,30.09122070094059,0.0010810733634826382,0.03287968010006542,0.8592865887092546,0.8757346423287897,0.02947279125082235,31.7770773547656,0.0013766463262331365,0.03710318485296291,0.8252547112423428,0.8624044975323661
14,8,30.402720637330123,0.001076320042218314,0.032807316900629255,0.8582187522584818,0.8653084274099816,0.029331483027800285,33.908244469291745,0.0013773949746260933,0.037113272216635566,0.8171923884434785,0.8603297244350806
14,9,29.895397274119944,0.0010555469454555633,0.032489181975783314,0.8600787374636664,0.8780311250964989,0.02938040321494728,32.34135419201942,0.0013627047544797473,0.036914831091036396,0.8224227054642957,0.8642480070299841
14,10,28.854334494205325,0.0009945670959792899,0.031536757854593894,0.8648757653352914,0.8798901731651653,0.028674596428805092,31.751909417881986,0.0013197830149925356,0.036328817968556804,0.8303686670742109,0.8680781667118495
14,11,29.457461006093848,0.0009944688990209496,0.03153520095101583,0.8633484388432051,0.8778026800624746,0.029007975678586276,31.605701223382926,0.0012706811881769524,0.03564661538178558,0.829408875967308,0.8770692573003624
14,12,29.32784753169613,0.000985947235797662,0.03139979674771259,0.8627699125552498,0.882076893989466,0.028512321313091237,30.977198352147937,0.0012386720184480384,0.0351947726011696,0.831977495135746,0.873253355243865
14,13,29.61975501618953,0.0010183022710062188,0.031910848797959274,0.8612672777018411,0.8849492379991302,0.0290302104177051,30.96138824028205,0.0011527431647458633,0.03395207158253916,0.8377389631252553,0.8926986783673244
14,14,28.679484499485262,0.0010170985584081738,0.031891982666622874,0.8675657897456044,0.8811976847958053,0.028336771582513264,31.238821181464193,0.0013652505844651544,0.03694929748270127,0.8261483260072006,0.8618497635681394
15,5,30.420840349947436,0.0010787749895885285,0.03284471022232543,0.8566485619899078,0.8858802028122125,0.029982125126817503,33.389734808302144,0.0013997397057942747,0.03741309537841362,0.8168351292328397,0.8509003885581352
15,6,30.041349968041064,0.0010626403585736913,0.03259816495715198,0.8607080303806841,0.8855777017896856,0.02911821602433116,31.904554468877897,0.0013705732127543095,0.0370212535275929,0.8247261964648348,0.8565764032457919
15,7,29.373576903172854,0.0010016869175582242,0.03164943787112536,0.8651722925354332,0.8792763456559196,0.028606132177469767,32.34049864867545,0.0013847579002746802,0.03721233532411907,0.8196424929159688,0.8532580935929946
