i,j,MAPD-test,MSE-test,RMSE-test,R2-test,Slope-test,Loss,MAPD-ind,MSE-ind,RMSE-ind,R2-ind,Slope-ind
81,58,25.78819830196585,0.0007813904189263,0.027953361496006,0.8881355861028941,0.9293339782980804,0.0235545990136732,27.200642263514585,0.0010531208914856,0.0324518241626817,0.8553395137844186,0.9283310656189426
84,62,25.348643690022666,0.0007932879894615,0.028165368619309,0.8871349630910429,0.9250629274014968,0.0235222442644983,27.319786941161738,0.0010188097541117,0.0319187993839324,0.8500284499321472,0.929872801665833
86,50,26.199591976121795,0.0008002242758264,0.0282882356435745,0.8853451418042751,0.9287906895932432,0.0237480009375837,27.96901807469404,0.000970103599726,0.0311464861537553,0.8539696209735932,0.9219938530218504
91,53,26.181600479244683,0.0007909701963461,0.0281241923678915,0.8876023774553131,0.9324200753416334,0.0236328718584118,27.67624915872917,0.0009798805603598,0.0313030439471929,0.8558926874292458,0.9209547498977187
97,50,25.542784744001644,0.0007810237048046,0.0279468013340469,0.8870820882078477,0.9250748290867512,0.0235285663477587,27.61872868885024,0.0009397730402192,0.0306557179041564,0.8587646736822541,0.9205094881913388
97,70,25.3848461369787,0.0007697746323634,0.0277448127109094,0.8891063304474454,0.9217649475491948,0.0236086949527134,27.141294477470638,0.0010209788058769,0.0319527589712834,0.8531451914664404,0.9221950962961998
100,72,25.68050749145825,0.0007647177715132,0.0276535309049911,0.8888550197487114,0.9336388253222082,0.0235337905833908,28.763942482218884,0.0010201551620858,0.0319398679096499,0.8551375040826066,0.9259216679170996
102,49,25.28189320432676,0.0007852100183162,0.028021599139168,0.8886167933140723,0.9250481968343937,0.0235359435764503,27.295280656299013,0.001018364483585,0.0319118235703482,0.8511174167190718,0.9224483679351988
104,34,26.112755724836127,0.0007902659623067,0.028111669504082,0.8866408371882506,0.933315778308949,0.0234335511224173,27.33612455102617,0.0009905057312067,0.0314723010154451,0.8572974346528068,0.9211036423791548
107,54,25.30669523623207,0.0007941042019188,0.0281798545404126,0.8870819505912519,0.9306877816409294,0.0235999957414463,27.567030338372945,0.0010256970130655,0.0320265048524739,0.8523820179068012,0.9212000622884824
