i,j,MAPD-test,MSE-test,RMSE-test,R2-test,Slope-test,Loss,MAPD-ind,MSE-ind,RMSE-ind,R2-ind,Slope-ind
5,5,38.933208514420606,0.050776135030597906,0.2253356053325748,0.8529256842690736,0.8614316697617176,0.039960974174588444,37.383062084511984,0.01642001551766883,0.12814060838652527,0.8604233519999629,0.9007711789345976
6,5,38.01016052071973,0.04921425271818038,0.22184285590971908,0.8621440117360878,0.8698263052728307,0.03745736582977084,37.07318519618671,0.01622010774307111,0.1273581867924913,0.8693352282543438,0.9024669650119437
6,6,37.26047232886063,0.04814338448165454,0.21941600780630055,0.8675929093934687,0.8756421286819739,0.036457647685076054,36.9355703370161,0.015401558198842749,0.12410301446315777,0.8745446891630323,0.8965556557597347
7,5,37.50569604886895,0.05161770238359237,0.2271952956898368,0.8640012141853934,0.8819603215445235,0.03716032332588295,36.39917731154386,0.015580912953314218,0.12482352724272062,0.872403872745938,0.9507689512404904
7,6,37.06887173474608,0.051238975044556136,0.22636027709065062,0.8664814528303533,0.8641249776880099,0.036886892014804745,35.59082464144907,0.016374011366904157,0.1279609759532341,0.8760633206841322,0.9205008392719373
7,7,36.515560640577235,0.04967414508882679,0.22287697298919598,0.8705848299216249,0.8935940511869599,0.03560156065314235,36.21704761656677,0.014671445826778476,0.12112574386470647,0.8796440342956345,0.9376476003992055
8,5,36.06180302096151,0.04902453778147281,0.22141485447339077,0.8721366300109135,0.8802128742986441,0.035145314615550864,35.30562050025339,0.0152619635062816,0.12353931967710362,0.8812412710278625,0.9180413588717088
8,6,36.63920132981352,0.047332237672818384,0.21755973357406555,0.8711951016551571,0.87969114529655,0.03477971855470182,34.89784256526326,0.014790134149461906,0.12161469545026993,0.8846558929608019,0.9322949710137381
8,7,35.65577550663517,0.04640980066922629,0.2154293403165555,0.8755997262205372,0.8840144466348634,0.033324258658884304,35.242611728733806,0.014271450656734823,0.11946317699079839,0.8855685821633831,0.9403112049641456
8,8,35.00198912657615,0.049408535967665354,0.22228030944657548,0.8742708550685974,0.8764470379251154,0.03362545277412047,34.20571872053976,0.014763065879531448,0.12150335748254633,0.8867119550690394,0.9336997542306597
9,5,36.23891823397105,0.04987235728823843,0.22332119757926794,0.8737510504353582,0.8722769823643975,0.034793398654274166,35.73555253703482,0.015139235725500265,0.12304160160490542,0.8862399849662934,0.9035279829780534
9,6,35.867492857474545,0.047208220182625056,0.2172745272290911,0.8756112670603002,0.902969795526988,0.03393547321266922,34.66425808459965,0.014904908396483108,0.12208566007718968,0.8835092310644319,0.957842998953485
9,7,36.29046280628614,0.04808297947795357,0.21927831511107881,0.8732648570845283,0.8872291378408856,0.03407537739356706,35.630461167797066,0.014897603955571173,0.12205574118234329,0.8801576392936112,0.9420273069123273
9,8,36.06192909511483,0.04952355852395534,0.22253889216034878,0.8731498548075359,0.8772248027154391,0.03379565304826349,35.73854487787996,0.01447113808726906,0.12029604352292331,0.8829373160997073,0.9296459995040219
9,9,35.96713287196752,0.04703061713672756,0.21686543555100604,0.8751224283888546,0.8823846319857428,0.03380247271993361,35.59613298601208,0.015168543035332,0.12316063914795182,0.8803226123031302,0.9153612129757803
10,5,35.496919469859066,0.04715772359134113,0.21715829155558652,0.8758256823494497,0.8841988684308136,0.03366445976274732,32.41894311410582,0.014677476579469032,0.12115063590204152,0.8914797490210864,0.9247348723937496
10,6,35.12946431128827,0.04480723696527814,0.21167719991836187,0.8809656653715906,0.8957331568590954,0.03278309283444977,34.72996943285707,0.014568949961358739,0.12070190537584209,0.8850881341510894,0.933556251003027
10,7,34.95134550717102,0.04628666781001969,0.2151433657123075,0.8779410030978803,0.8828237666664346,0.03317136604159717,34.915095126371,0.014662951435475722,0.12109067443645577,0.8849961383514716,0.9325602513705572
10,8,35.49828113565801,0.045410108915385446,0.21309647795162043,0.8768085826060786,0.8832993310364005,0.03336879093928617,34.62500526457747,0.014881182422410804,0.12198845200432214,0.8838049917833227,0.9158660220416238
10,9,35.194927579435316,0.04521511603112626,0.21263846319780969,0.8793973173462512,0.8732194636621083,0.03239452535167273,35.155895112063206,0.014010633893313657,0.11836652353310735,0.8896380616617164,0.9022583721421823
10,10,34.14696337090465,0.04473935039158287,0.2115167851296508,0.8819241379984181,0.8915087735060878,0.031818343808929776,32.33608457208098,0.014881288038710748,0.12198888489821828,0.8943066497428508,0.9370742921370958
11,5,34.695771574370134,0.044295616033307214,0.21046523711365545,0.8820889847967868,0.8895150992099677,0.03230907871621861,33.66891744110623,0.014109369884902112,0.1187828686507533,0.8919130340961405,0.9346066635436852
11,6,34.92233834462171,0.046083077985595085,0.21466969507966205,0.8785793047924999,0.8857840520415917,0.03284241757405724,32.63352797321095,0.014255751449264852,0.11939745160289164,0.8930162125776491,0.9247097929514115
11,7,34.3649078141853,0.04567678502985029,0.21372127884197747,0.8814176412774868,0.8835345274022156,0.0317432171306943,32.02819649611847,0.014697486751703558,0.12123319162549322,0.893626506956147,0.9354844921348476
11,8,34.63999250154294,0.04423598769401236,0.21032353100405185,0.8804679853934808,0.883727762670896,0.032121162487927894,31.69826552382077,0.014326420235815917,0.11969302500904519,0.8966423992660807,0.9263055066861309
11,9,34.81062247647933,0.045702144930109774,0.21378059998538168,0.8807778963915173,0.8909559943290307,0.032167728564162515,33.2520680216336,0.014740201949657175,0.12140923337892047,0.892778392090506,0.9243154384325447
11,10,34.90960517519077,0.044978025656690734,0.21208023400753484,0.8803651587081419,0.8763450138095346,0.031962656253622615,34.883681732463366,0.015196711396087742,0.12327494228791082,0.8850892671122247,0.9004598647232894
11,11,34.665224121151205,0.04289588179984992,0.20711321010464281,0.8835664827929522,0.8949051220083216,0.031656210397250806,32.38464147172877,0.01471577730943006,0.12130860360844181,0.8927175930282808,0.9435509414567225
12,5,35.75322308626552,0.0456198781512641,0.21358810395540315,0.8772012156912858,0.8883111427193507,0.033260029260654085,34.912188691046175,0.014285113239580918,0.11952034655062257,0.8887979426365158,0.9362422143059351
12,6,35.16600300791948,0.044399529270432586,0.2107119580622623,0.8779642244962403,0.8866976904464441,0.03307951057153738,35.160619340261,0.014949742234001898,0.12226913851827818,0.8822443591830053,0.9270217905643268
12,7,34.11079690404628,0.04564614838583395,0.2136495925243808,0.8825548012687746,0.8802667439148567,0.03138000824436399,31.128772136096483,0.014036498294997255,0.11847572871688637,0.8984630508199262,0.9321890720569421
12,8,34.220473279898,0.048903723744636945,0.22114186339234132,0.8807678737098549,0.8879187251139871,0.03246900176877027,32.00838997979633,0.014733781088826092,0.12138278744874041,0.8881168780966485,0.9338256593585038
12,9,33.94923849961435,0.045386782617571626,0.21304173914416777,0.8830924566082056,0.882920399161618,0.0315933247851179,32.6115103725787,0.013921208250015851,0.11798816995790659,0.897637474933869,0.9201264704540058
12,10,33.82969043531777,0.04383288495272136,0.2093630458144927,0.883659588321056,0.894362607135211,0.03151699428956512,33.542899791098165,0.014921675683870836,0.12215431095082496,0.8919665672013558,0.9272636070224821
12,11,33.142203110357656,0.04405838134950463,0.209900884584855,0.8850352222248308,0.8825425893858039,0.03082815282947944,31.592667567049315,0.014738440136546271,0.12140197748202568,0.8959452814396495,0.9086500104232398
12,12,34.15257689011552,0.044303601255654426,0.21048420666561762,0.8816752429702874,0.8892836893115529,0.03187976845404128,34.15927997357432,0.013656321758151948,0.11686026595105775,0.8885500992425183,0.9383949072065859
13,5,34.56882377586918,0.044012024336618646,0.20979042956393087,0.8811137450303658,0.891448301745787,0.03212596959573632,33.5202076541882,0.013962798410962002,0.11816428568295076,0.8944594091096426,0.9383647256751476
13,6,34.39791080255393,0.04843147095360341,0.22007151327148958,0.8802014530303855,0.883735153720425,0.032241254773797204,32.13899737604936,0.014148664530907261,0.1189481590059605,0.892971412174836,0.9336046531202353
13,7,34.6401460894228,0.045725763746590646,0.2138358336355033,0.880686147069871,0.889396079658594,0.03202073958810764,34.03606663416135,0.014868014271440515,0.12193446711836861,0.891356763649114,0.9334543992612282
13,8,34.47676393755926,0.04587445815777548,0.21418323500632697,0.8836792768836546,0.8968163649246351,0.03166491131803492,33.40618707523825,0.014413473703029485,0.12005612730314719,0.8951450993359499,0.9377313247872702
13,9,34.400189634023015,0.04462192735491895,0.21123902895752705,0.8836423930881573,0.8869537602321328,0.031303189879712257,33.26923147835888,0.014747258883974674,0.12143829249447916,0.8996440831991297,0.9217762345944519
13,10,33.25358214039862,0.043334563296731826,0.20816955420217392,0.885230594396394,0.8991371375894618,0.030866687787178864,31.21294085618941,0.01369918796461442,0.1170435302125428,0.8989972343945533,0.9499437433125008
13,11,33.19182840362949,0.0452959167421123,0.21282837391220255,0.88568473732295,0.8758911861734432,0.030836293062205332,31.677776557231564,0.01450459671246151,0.1204350310850689,0.8942640884491289,0.9249110343454182
13,12,33.812362414690675,0.04400320090981241,0.20976939936466524,0.8846068539191188,0.8895798963939003,0.03116218725444765,32.532483260375244,0.014122652808659427,0.11883876812160006,0.8993556908503402,0.9315396164025102
13,13,33.78125968616082,0.04620103431037706,0.21494425861226688,0.8819485521406855,0.8747404275565105,0.03167541116532971,33.729048203247125,0.01454623375684461,0.12060776822760882,0.8910523819099012,0.9100621319065965
